Year,mean,std
2000,242683.3505154639,41126.22933219375
2001,248720.4081632653,37566.33232932177
2002,246983.9696969697,43536.88610223134
2003,246221.27551020408,42686.18795632726
2004,244788.66326530612,42712.32522616449
2005,237342.95833333334,33711.8554314328
2006,239733.61855670103,37311.587166232974
2007,241158.4081632653,45290.20513319567
2008,230617.47,33865.452691930666
2009,236559.43,37369.48806834261
2010,228155.68041237115,34330.151189875585
2011,237315.94949494948,37463.98719733277
2012,227793.0909090909,32403.454562334613
2013,232242.5306122449,46369.697518784706
2014,233700.84,58386.92505076142
2015,218115.83,30416.57290846654
2016,219383.84,28014.090328326507
2017,221947.88,34383.45052001359
2018,208012.38383838383,33644.09629859486
2019,193414.9292929293,34745.39466921393
2020,194923.18,25548.934994261712
2021,187067.77551020408,30988.33107967779
